"nama_prodi","asal_kab_kota","asal_provinsi","periode_tahun","periode_bulan","periode_tanggal","jumlah_pendaftar"
Kedokteran Umum,Atambua,Nusa Tenggara Timur,2020,6,1,1
Kedokteran Umum,Sofifi,Maluku Utara,2020,6,1,1
Kedokteran Umum,Mempawah,Kalimantan Barat,2020,6,1,1
Kedokteran Umum,Kolaka,Sulawesi Tenggara,2020,6,1,1
Kedokteran Umum,Prabumulih,Sumatera Selatan,2020,6,1,1
Kedokteran Umum,Koba,Kepulauan Bangka Belitung,2020,6,1,1
Kedokteran Umum,Gunung Sitoli,Sumatera Utara,2020,6,1,1
Kedokteran Umum,Siak Sri Indrapura,Riau,2020,6,1,1
Kedokteran Umum,Pandeglang,Banten,2020,6,1,1
Kedokteran Umum,Nunukan,Kalimantan Utara,2020,6,1,1
Kedokteran Umum,Curup,Bengkulu,2020,6,1,1
Kimia,Siak Sri Indrapura,Riau,2020,6,1,1
Kimia,Koba,Kepulauan Bangka Belitung,2020,6,1,1
Kimia,Sleman,DI Yogyakarta,2020,6,1,1
Kimia,Tangerang,Banten,2020,6,1,1
Kimia,Depok,Jawa Barat,2020,6,1,1
Kimia,Gunung Sitoli,Sumatera Utara,2020,6,1,1
Kimia,Liwa,Lampung,2020,6,1,1
Kimia,Dharmasraya,Sumatera Barat,2020,6,1,1
Kimia,Malang,Jawa Timur,2020,6,1,1
Kimia,Tilamuta,Gorontalo,2020,6,1,1
Kimia,Maros,Sulawesi Selatan,2020,6,1,1
Kimia,Jayapura,Papua,2020,6,1,1
Kimia,Selat Panjang,Riau,2020,6,1,1
Kimia,Batam,Kepulauan Riau,2020,6,1,1
Kimia,Jakarta Timur,DKI Jakarta,2020,6,1,1
Kimia,Muntok,Kepulauan Bangka Belitung,2020,6,1,1
Kimia,Malinau,Kalimantan Utara,2020,6,1,1
Kimia,Nunukan,Kalimantan Utara,2020,6,1,1
Kimia,Maumere,Nusa Tenggara Timur,2020,6,1,1
Kimia,Bima,Nusa Tenggara Barat,2020,6,1,1
Kimia,Pagar Alam,Sumatera Selatan,2020,6,1,1
Kimia,Tomohon,Sulawesi Utara,2020,6,1,1
Kimia,Merauke,Papua,2020,6,1,1
Kimia,Banggai,Sulawesi Tengah,2020,6,1,1
Kimia,Lubuklinggau,Sumatera Selatan,2020,6,1,1
Kimia,Majene,Sulawesi Barat,2020,6,1,1
Kimia,Palopo,Sulawesi Selatan,2020,6,1,1
Kimia,Bagansiapiapi,Riau,2020,6,1,1
Kimia,Pangkalan Bun,Kalimantan Tengah,2020,6,1,1
Kimia,Padang Sidempuan,Sumatera Utara,2020,6,1,1
Kimia,Toboali,Kepulauan Bangka Belitung,2020,6,1,1
Kimia,Kuala Kurun,Kalimantan Tengah,2020,6,1,1
Kimia,Sumbawa,Nusa Tenggara Barat,2020,6,1,1
Kimia,Donggala,Sulawesi Tengah,2020,6,1,1
Kimia,Poso,Sulawesi Tengah,2020,6,1,1
Kimia,Mempawah,Kalimantan Barat,2020,6,1,1
Kimia,Tual,Maluku,2020,6,1,1
Kimia,Ambon,Maluku,2020,6,1,1
Kimia,Mojokerto,Jawa Timur,2020,6,1,1
Kimia,Dabo Singkep,Kepulauan Riau,2020,6,1,1
Kimia,Raja Ampat,Papua Barat,2020,6,1,1
Kimia,Bitung,Sulawesi Utara,2020,6,1,1
Kimia,Tabanan,Bali,2020,6,1,1
Kimia,Pekalongan,Jawa Tengah,2020,6,1,1
Manajemen,Gianyar,Bali,2020,6,1,1
Manajemen,Kayu Agung,Sumatera Selatan,2020,6,1,1
Manajemen,Banjarbaru,Kalimantan Selatan,2020,6,1,1
Manajemen,Samarinda,Kalimantan Timur,2020,6,1,1
Manajemen,Sorong,Papua Barat,2020,6,1,1
Manajemen,Bogor,Jawa Barat,2020,6,1,1
Manajemen,Muara Teweh,Kalimantan Tengah,2020,6,1,1
Manajemen,Muara Sabak,Jambi,2020,6,1,1
Manajemen,Langsa,Aceh,2020,6,1,1
Manajemen,Binjai,Sumatera Utara,2020,6,1,1
Manajemen,Depok,Jawa Barat,2020,6,1,1
Manajemen,Kupang,Nusa Tenggara Timur,2020,6,1,1
Manajemen,Blitar,Jawa Timur,2020,6,1,1
Manajemen,Jakarta Pusat,DKI Jakarta,2020,6,1,1
Manajemen,Sleman,DI Yogyakarta,2020,6,1,1
Manajemen,Jember,Jawa Timur,2020,6,1,1
Manajemen,Majene,Sulawesi Barat,2020,6,1,1
Manajemen,Bukittinggi,Sumatera Barat,2020,6,1,1
Manajemen,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,1
Manajemen,Kuala Kurun,Kalimantan Tengah,2020,6,1,1
Manajemen,Mamasa,Sulawesi Barat,2020,6,1,1
Manajemen,Siak Sri Indrapura,Riau,2020,6,1,1
Manajemen,Singkawang,Kalimantan Barat,2020,6,1,1
Manajemen,Malinau,Kalimantan Utara,2020,6,1,1
Manajemen,Sambas,Kalimantan Barat,2020,6,1,1
Manajemen,Prabumulih,Sumatera Selatan,2020,6,1,1
Manajemen,Marabahan,Kalimantan Selatan,2020,6,1,1
Manajemen,Tobelo,Maluku Utara,2020,6,1,1
Manajemen,Bekasi,Jawa Barat,2020,6,1,1
Manajemen,Dabo Singkep,Kepulauan Riau,2020,6,1,1
Manajemen,Tasikmalaya,Jawa Barat,2020,6,1,1
Manajemen,Semarang,Jawa Tengah,2020,6,1,1
Manajemen,Sungguminasa,Sulawesi Selatan,2020,6,1,1
Manajemen,Lhokseumawe,Aceh,2020,6,1,1
Manajemen,Tenggarong,Kalimantan Timur,2020,6,1,1
Manajemen,Ternate,Maluku Utara,2020,6,1,1
Manajemen,Sampit,Kalimantan Tengah,2020,6,1,1
Manajemen,Kediri,Jawa Timur,2020,6,1,1
Manajemen,Mempawah,Kalimantan Barat,2020,6,1,1
Manajemen,Jakarta Timur,DKI Jakarta,2020,6,1,1
Manajemen,Krui,Lampung,2020,6,1,1
Manajemen,Sofifi,Maluku Utara,2020,6,1,1
Manajemen,Muara Bulian,Jambi,2020,6,1,1
Manajemen,Bontang,Kalimantan Timur,2020,6,1,1
Manajemen,Maros,Sulawesi Selatan,2020,6,1,1
Teknik Elektro,Maumere,Nusa Tenggara Timur,2020,6,1,1
Teknik Elektro,Cirebon,Jawa Barat,2020,6,1,1
Teknik Elektro,Bangko,Jambi,2020,6,1,1
Teknik Elektro,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,1
Teknik Elektro,Sawahlunto,Sumatera Barat,2020,6,1,1
Teknik Elektro,Gianyar,Bali,2020,6,1,1
Teknik Elektro,Fakfak,Papua Barat,2020,6,1,1
Teknik Elektro,Padang Panjang,Sumatera Barat,2020,6,1,1
Teknik Elektro,Blitar,Jawa Timur,2020,6,1,1
Teknik Elektro,Kota Agung,Lampung,2020,6,1,1
Teknik Elektro,Baubau,Sulawesi Tenggara,2020,6,1,1
Teknik Elektro,Lubuklinggau,Sumatera Selatan,2020,6,1,1
Teknik Elektro,Muara Bulian,Jambi,2020,6,1,1
Teknik Elektro,Curup,Bengkulu,2020,6,1,1
Teknik Elektro,Saumlaki,Maluku,2020,6,1,1
Teknik Elektro,Masohi,Maluku,2020,6,1,1
Teknik Elektro,Tomohon,Sulawesi Utara,2020,6,1,1
Teknik Elektro,Bontang,Kalimantan Timur,2020,6,1,1
Teknik Elektro,Pekalongan,Jawa Tengah,2020,6,1,1
Teknik Elektro,Palopo,Sulawesi Selatan,2020,6,1,1
Teknik Elektro,Tilamuta,Gorontalo,2020,6,1,1
Teknik Elektro,Balikpapan,Kalimantan Timur,2020,6,1,1
Teknik Elektro,Tenggarong,Kalimantan Timur,2020,6,1,1
Teknik Elektro,Arga Makmur,Bengkulu,2020,6,1,1
Teknik Elektro,Singaraja,Bali,2020,6,1,1
Teknik Elektro,Selat Panjang,Riau,2020,6,1,1
Teknik Elektro,Jakarta Timur,DKI Jakarta,2020,6,1,1
Teknik Elektro,Tolitoli,Sulawesi Tengah,2020,6,1,1
Teknik Elektro,Koba,Kepulauan Bangka Belitung,2020,6,1,1
Teknik Elektro,Mempawah,Kalimantan Barat,2020,6,1,1
Teknik Elektro,Tegal,Jawa Tengah,2020,6,1,1
Teknik Elektro,Depok,Jawa Barat,2020,6,1,1
Teknik Elektro,Bima,Nusa Tenggara Barat,2020,6,1,1
Teknik Elektro,Kayu Agung,Sumatera Selatan,2020,6,1,1
Teknik Elektro,Toboali,Kepulauan Bangka Belitung,2020,6,1,1
Teknik Elektro,Krui,Lampung,2020,6,1,1
Teknik Elektro,Majene,Sulawesi Barat,2020,6,1,1
Teknik Elektro,Jayapura,Papua,2020,6,1,1
Teknik Elektro,Dharmasraya,Sumatera Barat,2020,6,1,1
Teknik Elektro,Marabahan,Kalimantan Selatan,2020,6,1,1
Teknik Elektro,Poso,Sulawesi Tengah,2020,6,1,1
Teknik Elektro,Klungkung,Bali,2020,6,1,1
Teknik Elektro,Sleman,DI Yogyakarta,2020,6,1,1
Teknik Elektro,Bitung,Sulawesi Utara,2020,6,1,1
Teknik Elektro,Sorong,Papua Barat,2020,6,1,1
Teknik Elektro,Kandangan,Kalimantan Selatan,2020,6,1,1
Teknik Elektro,Marisa,Gorontalo,2020,6,1,1
Teknik Elektro,Langsa,Aceh,2020,6,1,1
Teknik Elektro,Singkawang,Kalimantan Barat,2020,6,1,1
Teknik Mesin,Jakarta Timur,DKI Jakarta,2020,6,1,1
Teknik Mesin,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,1
Teknik Mesin,Tasikmalaya,Jawa Barat,2020,6,1,1
Teknik Mesin,Makassar,Sulawesi Selatan,2020,6,1,1
Teknik Mesin,Wonosari,DI Yogyakarta,2020,6,1,1
Teknik Mesin,Gunung Sitoli,Sumatera Utara,2020,6,1,1
Teknik Mesin,Bireuen,Aceh,2020,6,1,1
Teknik Mesin,Sabang,Aceh,2020,6,1,1
Teknik Mesin,Tabanan,Bali,2020,6,1,1
Teknik Mesin,Baubau,Sulawesi Tenggara,2020,6,1,1
Teknik Mesin,Tomohon,Sulawesi Utara,2020,6,1,1
Teknik Mesin,Mamuju,Sulawesi Barat,2020,6,1,1
Teknik Mesin,Sorong,Papua Barat,2020,6,1,1
Teknik Mesin,Tobelo,Maluku Utara,2020,6,1,1
Teknik Mesin,Sangatta,Kalimantan Timur,2020,6,1,1
Teknik Mesin,Batu,Jawa Timur,2020,6,1,1
Teknik Mesin,Kayu Agung,Sumatera Selatan,2020,6,1,1
Teknik Mesin,Poso,Sulawesi Tengah,2020,6,1,1
Teknik Mesin,Kuala Kurun,Kalimantan Tengah,2020,6,1,1
Teknik Mesin,Tual,Maluku,2020,6,1,1
Teknik Mesin,Tegal,Jawa Tengah,2020,6,1,1
Teknik Mesin,Ende,Nusa Tenggara Timur,2020,6,1,1
Teknik Mesin,Prabumulih,Sumatera Selatan,2020,6,1,1
Teknik Mesin,Tarakan,Kalimantan Utara,2020,6,1,1
Teknik Mesin,Madiun,Jawa Timur,2020,6,1,1
Teknik Mesin,Bagansiapiapi,Riau,2020,6,1,1
Teknik Mesin,Kolaka,Sulawesi Tenggara,2020,6,1,1
Teknik Mesin,Muara Sabak,Jambi,2020,6,1,1
Teknik Mesin,Klungkung,Bali,2020,6,1,1
Teknik Mesin,Parepare,Sulawesi Selatan,2020,6,1,1
Teknik Mesin,Timika,Papua,2020,6,1,1
Teknik Mesin,Dharmasraya,Sumatera Barat,2020,6,1,1
Teknik Mesin,Lebak,Banten,2020,6,1,1
Teknik Mesin,Limboto,Gorontalo,2020,6,1,1
Teknik Mesin,Manna,Bengkulu,2020,6,1,1
Teknik Mesin,Nabire,Papua,2020,6,1,1
Teknik Mesin,Bima,Nusa Tenggara Barat,2020,6,1,1
Teknik Mesin,Sleman,DI Yogyakarta,2020,6,1,1
Teknik Mesin,Dabo Singkep,Kepulauan Riau,2020,6,1,1
Teknik Mesin,Jakarta Utara,DKI Jakarta,2020,6,1,1
Teknik Mesin,Bangko,Jambi,2020,6,1,1
Teknik Mesin,Tilamuta,Gorontalo,2020,6,1,1
Teknik Mesin,Lubuklinggau,Sumatera Selatan,2020,6,1,1
Teknik Mesin,Kediri,Jawa Timur,2020,6,1,1
Teknik Mesin,Selat Panjang,Riau,2020,6,1,1
Teknik Mesin,Langsa,Aceh,2020,6,1,1
Teknik Mesin,Balikpapan,Kalimantan Timur,2020,6,1,1
Teknik Mesin,Padang Panjang,Sumatera Barat,2020,6,1,1
Teknik Sipil,Bireuen,Aceh,2020,6,1,1
Teknik Sipil,Singaraja,Bali,2020,6,1,1
Teknik Sipil,Wates,DI Yogyakarta,2020,6,1,1
Teknik Sipil,Mamuju,Sulawesi Barat,2020,6,1,1
Teknik Sipil,Muntok,Kepulauan Bangka Belitung,2020,6,1,1
Teknik Sipil,Batam,Kepulauan Riau,2020,6,1,1
Teknik Sipil,Donggala,Sulawesi Tengah,2020,6,1,1
Teknik Sipil,Pandeglang,Banten,2020,6,1,1
Teknik Sipil,Bekasi,Jawa Barat,2020,6,1,1
Teknik Sipil,Mamasa,Sulawesi Barat,2020,6,1,1
Teknik Sipil,Bontang,Kalimantan Timur,2020,6,1,1
Teknik Sipil,Dabo Singkep,Kepulauan Riau,2020,6,1,1
Teknik Sipil,Praya,Nusa Tenggara Barat,2020,6,1,1
Teknik Sipil,Tarakan,Kalimantan Utara,2020,6,1,1
Teknik Sipil,Tebing Tinggi,Sumatera Utara,2020,6,1,1
Teknik Sipil,Dumai,Riau,2020,6,1,1
Teknik Sipil,Sampit,Kalimantan Tengah,2020,6,1,1
Teknik Sipil,Bangko,Jambi,2020,6,1,1
Teknik Sipil,Limboto,Gorontalo,2020,6,1,1
Teknik Sipil,Nabire,Papua,2020,6,1,1
Teknik Sipil,Jember,Jawa Timur,2020,6,1,1
Teknik Sipil,Muara Sabak,Jambi,2020,6,1,1
Teknik Sipil,Kandangan,Kalimantan Selatan,2020,6,1,1
Teknik Sipil,Sumbawa,Nusa Tenggara Barat,2020,6,1,1
Teknik Sipil,Merauke,Papua,2020,6,1,1
Teknik Sipil,Sorong,Papua Barat,2020,6,1,1
Teknik Sipil,Krui,Lampung,2020,6,1,1
Teknik Sipil,Raha,Sulawesi Tenggara,2020,6,1,1
Teknik Sipil,Marisa,Gorontalo,2020,6,1,1
Teknik Sipil,Cirebon,Jawa Barat,2020,6,1,1
Teknik Sipil,Marabahan,Kalimantan Selatan,2020,6,1,1
Teknik Sipil,Pangkalan Bun,Kalimantan Tengah,2020,6,1,1
Teknik Sipil,Magelang,Jawa Tengah,2020,6,1,1
Teknik Sipil,Madiun,Jawa Timur,2020,6,1,1
Teknik Sipil,Liwa,Lampung,2020,6,1,1
Teknik Sipil,Gianyar,Bali,2020,6,1,1
Teknik Sipil,Kota Agung,Lampung,2020,6,1,1
Teknik Sipil,Tobelo,Maluku Utara,2020,6,1,1
Teknik Sipil,Atambua,Nusa Tenggara Timur,2020,6,1,1
Teknik Sipil,Metro,Lampung,2020,6,1,1
Teknik Sipil,Jayapura,Papua,2020,6,1,1
Teknik Sipil,Lhokseumawe,Aceh,2020,6,1,1
Teknik Sipil,Pematangsiantar,Sumatera Utara,2020,6,1,1
Teknik Sipil,Bogor,Jawa Barat,2020,6,1,1
Teknik Sipil,Banjarbaru,Kalimantan Selatan,2020,6,1,1
